Key,Source,Context,Changes,English,Russian

foodT5-1,progression,Attribute,,Tier 5: SuperElixir Quest Runner,Уровень 5: Суперэликсир Бегун по Квестам
foodT5-2,progression,Attribute,,Tier 5: SuperElixir Melee Master,Уровень 5: Суперэликсир Мастер Ближнего Боя
foodT5-3,progression,Attribute,,Tier 5: SuperElixir Miner Master,Уровень 5: Суперэликсир Мастер Добычи
foodT5-4,progression,Attribute,,Tier 5: SuperElixir Master of Trade,Уровень 5: Суперэликсир Мастера Торговли
foodT5-5,progression,Attribute,,Tier 5: SuperElixir Horde Expert,Уровень 5: Суперэликсир Эксперт по Орде

superElixirTradeMaster,items,item,,[DECEA3]Super Elixir[-] Master of Trade,[DECEA3]Суперэликсир[-] Мастера Торговли
superElixirTradeMasterDesc,items,item,,"You get the maximum when you trade.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nGrandpa's Awesome Sauce\nSuggar Butts\nPumpkin Cheesecake\n\nBase duration of all buffs [DECEA3]7 minutes[-]","Вы получаете максимум когда торгуете.\nНакладывает на персонажа баффы:\nДедушкин эликсир для учебы\nКлассное дедушкино пойло\nАвось да небось\nТыквенный чизкейк\n\nБазовая длительность всех баффов [DECEA3]7 минут[-]"

superElixirQuestRunner,items,item,,[DECEA3]Super Elixir[-] Quest Runner,[DECEA3]Суперэликсир[-] Бегун по Квестам
superElixirQuestRunnerDesc,items,item,,"He came, took everything apart, searched everything.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nEye Candy\nHackers\nSteroids\n\nBase duration of all buffs [DECEA3]8 minutes[-]","Пришел, обыскал, разобрал.\nНакладывает на персонажа баффы:\nДедушкин эликсир для учебы\nДраже удачи\nХакеры\nСтероиды\n\nБазовая длительность всех баффов [DECEA3]8 минут[-]"

superElixirHordeExpert,items,item,,[DECEA3]Super Elixir[-] Horde Expert,[DECEA3]Суперэликсир[-] Эксперт по Орде
superElixirHordeExpertDesc,items,item,,"You don't run from the horde. The horde runs from you.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nRecog\nFortbites\n\nBase duration of all buffs [DECEA3]7 minutes[-]","Вы не бежите от орды. Орда бежит от вас.\nНакладывает на персонажа баффы:\nДедушкин эликсир для учебы\nСокол\nФорт Байтс\n\nБазовая длительность всех баффов [DECEA3]7 минут[-]"

superElixirMeleeMaster,items,item,,[DECEA3]Super Elixir[-] Melee Master,[DECEA3]Суперэликсир[-] Мастер Ближнего Боя
superElixirMeleeMasterDesc,items,item,,"In close combat you are indestructible.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nSkull Crushers\nFortbites\n\nBase duration of all buffs [DECEA3]7 minutes[-]","В ближнем бою вы не сокрушимы.\nНакладывает на персонажа баффы:\nДедушкин эликсир для учебы\nДробитель черепов\nФорт Байтс\n\nБазовая длительность всех баффов [DECEA3]7 минут[-]"

superElixirMinerMaster,items,item,,[DECEA3]Super Elixir[-] Miner Master,[DECEA3]Суперэликсир[-] Мастер Добычи
superElixirMinerMasterDesc,items,item,,"You can't dig enough.\nApplies buffs to the character:\nGrandpa's Elixir for Study\nBlackstrap Coffee\nRock Busters\n\nBase duration of all buffs [DECEA3]7 minutes[-]","Копать да не перекопать.\nНакладывает на персонажа баффы:\nДедушкин эликсир для учебы\nКофе рудокопов\nRock Busters\n\nБазовая длительность всех баффов [DECEA3]7 минут[-]"
