Key,Source,Context,Changes,English,Russian,TChinese

statPlayerExpGainRepairTool,ui_display,Item stat,,"XP Gain, Construction","Получаемый опыт, Строительство","經驗值獲得，建築"
statPlayerExpGainMining,ui_display,Item stat,,"XP Gain, Mining","Получаемый опыт, Добыча руды","經驗值獲得，採礦"
statPlayerExpGainWinterDesertBiomes,ui_display,Item stat,,"XP Gain Winter and Desert, Killing","Опыт за убийство, Зима и Пустыня","冬季和沙漠生態系統殺敵經驗值獲得"
statStaminaLossAxe,ui_display,Item stat,,Stamina cost. Axe,Расход стамины. Топор,耐力消耗，斧頭
statStaminaLossPickaxe,ui_display,Item stat,,"Stamina cost, Pickaxe","Расход стамины, Кирка","耐力消耗，鎬"
statLootTime,ui_display,Item stat,,"Loot time","Время поиска лута","搜刮時間"
statAttacksPerMinuteStunBaton,ui_display,Item stat,,"Attack speed, Stun Baton","Скорость атаки, Оглушающий жезл","攻擊速度，電擊棒"

statAttacksPerMinuteMelee,ui_display,Item stat,,"Attack speed, Melee","Скорость атаки, Ближний бой","攻擊速度，近戰"

statDegradationPerUse,ui_display,Item stat,,"Degradation per use. Mining tools","Расход прочности. Инструменты добычи","每次使用的耐久度消耗，採礦工具"
statStaminaLossMelee,ui_display,Item stat,,"Stamina cost, Melee","Расход стамины, Ближний бой","耐力消耗，近戰"
statHealingSpeed,ui_display,Item stat,,Health regeneration rate,Скорость регенерации здоровья,生命值恢復速度
statBlockDamageAxe,ui_display,Item stat,,"Block damage, Axe","Урон по блоку, Топор","方塊傷害，斧頭"
statMoneyLootQuantity,ui_display,Item stat,,More banknotes and dukes,Больше банкнот и дюков,更多紙鈔和杜克幣
statReloadSpeedArchery,ui_display,Item stat,,"Reload speed, Archery","Скорость перезарядки, Луки","重新裝填速度，弓箭"
statCrouchSpeed,ui_display,Item stat,,Speed in stealth,Скорость в стелсе,潛行速度
statFoodAndWaterLost,ui_display,Item stat,,Food and water consumption. Run,Расход еды и воды. Бег,跑步時的食物和水消耗
statReloadSpeed,ui_display,Item stat,,Reload speed,Скорость перезарядки,重新裝填速度
statMaxStaminaBonus,ui_display,Item stat,,Stamina Bonus,Бонус к выносливости,耐力加成
statStaminaRegenRunning,ui_display,Item stat,,Stamina regen. Run,Восстановление выносливости. Бег,跑步時的耐力恢復
statBarteringSelling,ui_display,Item stat,,Bartering (Selling),Обмен (Продажа),交易（出售）
statReloadSpeedGunslinger,ui_display,Item stat,,"Reload speed, Gunslinger","Скорость перезарядки, Стрелок","重新裝填速度，槍手"
statFoodHealthAmount,ui_display,Item stat,,Health bonus from food,Бонус к здоровью от еды,食物提供的生命值加成
statAttacksPerMinuteKnives,ui_display,Item stat,,"Attack speed, Knives","Скорость атаки, Ножи","攻擊速度，刀"
statAttacksPerMinuteClubs,ui_display,Item stat,,"Attack speed, Clubs and Hammers","Скорость атаки, Дубины и кувалды","攻擊速度，棍棒和錘子"
statAttacksPerMinuteSalvaging,ui_display,Item stat,,"Attack speed, Salvaging","Скорость атаки, Разбор","攻擊速度，拆解"

statReloadSpeedMultiplier,ui_display,Item stat,,"Reload speed, All weapon","Скорость перезарядки, Все оружие","重新裝填速度，所有武器"
statReloadSpeedAutomaticWeapon,ui_display,Item stat,,"Reload speed, Machine Gunner","Скорость перезарядки, Автоматы","重新裝填速度，機槍手"
statReloadSpeedSniper,ui_display,Item stat,,"Reload speed, Sniper Rifles","Скорость перезарядки, Снайперские винтовки","重新裝填速度，狙擊步槍"
statRoundsPerMinuteSniperSniper,ui_display,Item stat,,"Round per minute, Sniper Rifles","Скорострельность, Снайперские винтовки","每分鐘發射數，狙擊步槍"
statReloadSpeedShotgun,ui_display,Item stat,,"Reload speed, Shotguns","Скорость перезарядки, Дробовики","重新裝填速度，霰彈槍"
statRoundsPerMinuteShotgun,ui_display,Item stat,,"Round per minute, Shotguns","Скорострельность, Дробовики","每分鐘發射數，霰彈槍"

buffLumberjackSetBonus,buffs,Buff,,Lumberjack,Дровосек,伐木工
buffPreacherSetBonus,buffs,Buff,,Preacher,Священник,傳教士
buffRogueSetBonus,buffs,Buff,,Rogue,Разбойник,盜賊
buffAthleticSetBonus,buffs,Buff,,Athletic,Спортсмен,運動員
buffEnforcerSetBonus,buffs,Buff,,Enforcer,Законник,執法者
buffFarmerSetBonus,buffs,Buff,,Farmer,Фермер,農夫
buffBikerSetBonus,buffs,Buff,,Biker,Байкер,騎士
buffScavengerSetBonus,buffs,Buff,,Scavenger,Мусорщик,拾荒者
buffRangerSetBonus,buffs,Buff,,Ranger,Егерь,遊俠
buffCommandoSetBonus,buffs,Buff,,Commando,Спецназ,特種部隊
buffAssassinSetBonus,buffs,Buff,,Assassin,Убийца,刺客
buffMinerSetBonus,buffs,Buff,,Miner,Шахтер,礦工
buffNomadSetBonus,buffs,Buff,,Nomad,Бродяга,遊牧民
buffNerdSetBonus,buffs,Buff,,Nerd,Ботан,書呆子
buffRaiderSetBonus,buffs,Buff,,Raider,Налетчик,掠奪者

buffSetBonusName,buffs,Buff,,Full Set Bonus,Бонус за полный комплект,全套裝備加成
buffSemiSetBonusName,buffs,Buff,,Semi Set Bonus,Бонус за полукомплект комплект,半套裝備加成

buffLightArmorSetBonusName,buffs,buff,,Light Armor bonus,Бонус легкой брони,輕甲加成
buffLightArmorSetBonusTooltip,buffs,buff,,Light armor bonus is active,Бонус от легкой брони активен,輕甲加成已啟動
buffLightArmorSetBonusDesc,buffs,Buff,,Light armor does not restrict movement and weighs almost nothing.\n\nMovement speed increased by 20%,Легкая броня не стесняет при движении а почти ничего не весит.\n\nСкорость пережвижения увеличена на 20%,輕甲不會限制移動，幾乎沒有重量。\n\n移動速度提升20%

buffMediumArmorSetBonusName,buffs,buff,,Medium Armor bonus,Бонус средней брони,中甲加成
buffMediumArmorSetBonusTooltip,buffs,buff,,Medium armor bonus is active,Бонус от средней брони активен,中甲加成已啟動
buffMediumArmorSetBonusDesc,buffs,Buff,,Medium armor is ideal for actively shooting infected people.\n\nRanged weapon damage increased by 10%,Средняя броня идеально подходит для активного отстрела зараженных.\n\nУрон от оружия дальнего боя увеличен 10%,中甲非常適合主動射擊受感染者。\n\n遠程武器傷害提升10%

buffHeavyArmorSetBonusName,buffs,buff,,Heavy Armor bonus,Бонус тяжелой брони,重甲加成
buffHeavyArmorSetBonusTooltip,buffs,buff,,Heavy armor bonus is active,Бонус от тяжелой брони активен,重甲加成已啟動
buffHeavyArmorSetBonusDesc,buffs,Buff,,"Heavy armor makes you much more resistant to damage taken. And in close combat, deliver enhanced blows.\n\nYou gain 30 health\nMelee weapon damage increased by 10%","Тяжелая броня делает вас намного устойчивее к получаемому урону. А в ближнем бою наносить усиленные удары.\n\nВы получает 30 единиц здоровья\nУрон от оружия ближнего боя увеличен 10%","重甲大幅提高你的抗傷害能力。在近戰中，可以造成更強的打擊。\n\n你獲得30點生命值\n近戰武器傷害提升10%"

armorLumberjackHelmetDesc,items,Clothes,,Light Armor\nBirds and wasps are your friends. You can find more honey and eggs by cutting down trees.\n\nFull Set Bonus: Increases wood harvest.,Легкая броня\nПтицы и осы ваши друзья. Вы можете найти больше меда и яйца при рубке деревьев.\n\Бонус комплекта: Увеличивает количество добываемого дерева.,輕甲\n鳥兒和黃蜂是你的朋友。砍伐樹木時可以找到更多蜂蜜和雞蛋。\n\n全套裝備加成：增加木材收穫量。
armorLumberjackOutfitDesc,items,Clothes,,Light Armor\nWith a vest full of pockets you'll have room for that. Reduces encumbrance.\n\nFull Set Bonus: Increases wood harvest.,Легкая броня\nС жилетом, полным карманов, у вас будет место для всего что угодно. Уменьшает перегруз персонажа.\n\Бонус комплекта: Увеличивает количество добываемого дерева.,輕甲\n穿上滿是口袋的背心，你就有足夠的空間了。減少負重。\n\n全套裝備加成：增加木材收穫量。
armorLumberjackGlovesDesc,items,Clothes,,Light Armor\nForget about calluses. Strong leather holds the ax handle well. Reduces stamina consumption when using axes.\n\nFull Set Bonus: Increases wood harvest.,Легкая броня\nЗабудьте про мазоли. Крепкая кожа хорошо фиксирует рукоять топора. Уменьшает расход выносливости при использовании топоров.\n\Бонус комплекта: Увеличивает количество добываемого дерева.,輕甲\n忘掉老繭吧。堅固的皮革能很好地握住斧頭柄。使用斧頭時減少耐力消耗。\n\n全套裝備加成：增加木材收穫量。
armorLumberjackBootsDesc,items,Clothes,,"Light Armor\nComfortable shoes for maintaining balance when swinging with axes. Increases damage with axes against blocks.\n\nFull Set Bonus: Increases wood harvest.","Легкая броня\nУдобная обувь для сохранения равновесия при размашистых ударах топорами. Увеличивает урон топорами по блокам.\n\Бонус комплекта: Увеличивает количество добываемого дерева.","輕甲\n舒適的鞋子，在揮動斧頭時保持平衡。增加斧頭對方塊的傷害。\n\n全套裝備加成：增加木材收穫量。"
buffLumberjackSetBonusTooltip,buffs,Buff,,Lumberjack Full Set Bonus Active,Бонус за полный комплект дровосека активен,伐木工全套裝備加成已啟動
buffLumberjackSemiSetBonusTooltip,buffs,Buff,,Lumberjack Semi Set Bonus Active,Бонус за полукомплект дровосека активен,伐木工半套裝備加成已啟動
buffLumberjackSetBonusDesc,buffs,Buff,,Professional lumberjack equipment allows you to harvest timber more efficiently.\n\nWood production increased by {cvar(.armorLumberjackFSBDisplay:0)}%,Профессиональная экипировка лесоруба позволяет более эффективно заготавливать девесину.\n\nДобыча дерева увеличена на {cvar(.armorLumberjackFSBDisplay:0)}%,專業伐木工裝備讓你更有效率地收穫木材。\n\n木材產量增加{cvar(.armorLumberjackFSBDisplay:0)}%
buffLumberjackSemiSetBonusDesc,buffs,Buff,,"Even an incomplete set of the Lumberjack allows you to harvest wood more efficiently.\n\nWood production increased by {cvar(.armorSemiLumberjackFSBDisplay01:0)}%","Даже неполный комплек Дровосека, позволяет более эффективно заготавливать девесину.\n\nДобыча дерева увеличена на {cvar(.armorSemiLumberjackFSBDisplay01:0)}%","即使是不完整的伐木工套裝也能讓你更有效率地收穫木材。\n\n木材產量增加{cvar(.armorSemiLumberjackFSBDisplay01:0)}%"

armorPreacherHelmetDesc,items,Clothes,,Light Armor\nThe Preacher's positive reputation is highly respected in the trading community. Receive a discount on purchased items.\n\nFull Set Bonus: Increases wasteland experience gained and provides resistance to 1 radiation effect..,Легкая броня\nПоложительная репутация Проповедника пользуется большим уважением в торговом сообществе. Получите скидку на купленные товары.\n\Бонус комплекта: Увеличивает получаемый опыт в пустоше и дает сопротивление к 1 эффекту радиации,輕甲\n傳教士的良好聲譽在貿易社區中備受尊重。購買物品時獲得折扣。\n\n全套裝備加成：增加在荒野獲得的經驗值，並提供對1種輻射效果的抗性。
armorPreacherOutfitDesc,items,Clothes,,Light Armor\nBlessed by the Lord these threads will keep you protected from evil. Reduces incoming damage.\n\nFull Set Bonus: Increases wasteland experience gained and provides resistance to 1 radiation effect.,Легкая броня\nБлагословенные Господом эти нити защитят вас от зла. Уменьшает входящий урон.\n\Бонус комплекта: Увеличивает получаемый опыт в пустоше и дает сопротивление к 1 эффекту радиации,輕甲\n這些被主祝福的衣物將保護你免受邪惡侵害。減少受到的傷害。\n\n全套裝備加成：增加在荒野獲得的經驗值，並提供對1種輻射效果的抗性。
