Key,Source,Context,Changes,English,Russian,TChinese

questRewardSkillMagazineBundleT3,items,item,,Crafting Skill Magazine [DECEA3]Bundle Small[-],Журналы по навыкам изготовления [DECEA3]Малый комплект[-],製作技能雜誌 [DECEA3]小型套裝[-]
questRewardSkillMagazineBundleT4,items,item,,Crafting Skill Magazine [DECEA3]Bundle Medium[-],Журналы по навыкам изготовления [DECEA3]Средный комплект[-],製作技能雜誌 [DECEA3]中型套裝[-]
questRewardSkillMagazineBundleT5,items,item,,Crafting Skill Magazine [DECEA3]Bundle Big[-],Журналы по навыкам изготовления [DECEA3]Большой комплект[-],製作技能雜誌 [DECEA3]大型套裝[-]
questRewardSkillMagazineBundleT6,items,item,,Crafting Skill Magazine [DECEA3]Bundle Huge[-],Журналы по навыкам изготовления [DECEA3]Огромный комплект[-],製作技能雜誌 [DECEA3]超大型套裝[-]

questRewardFoodBundleT3,items,item,,Food and water [DECEA3]Bundle Small[-],Еда и вода [DECEA3]Малый комплект[-],食物和水 [DECEA3]小型套裝[-]
questRewardFoodBundleT4,items,item,,Food and water [DECEA3]Bundle Medium[-],Еда и вода [DECEA3]Средный комплект[-],食物和水 [DECEA3]中型套裝[-]
questRewardFoodBundleT5,items,item,,Food and water [DECEA3]Bundle Big[-],Еда и вода [DECEA3]Большой комплект[-],食物和水 [DECEA3]大型套裝[-]
questRewardFoodBundleT6,items,item,,Food and water [DECEA3]Bundle Huge[-],Еда и вода [DECEA3]Огромный комплект[-],食物和水 [DECEA3]超大型套裝[-]

questRewardVehicleBundleT3,items,item,,Minibike parts,Части минибайка,小型摩托車零件
questRewardVehicleBundleT4,items,item,,Motorcycle parts,Части мотоцикла,摩托車零件
questRewardVehicleBundleT5,items,item,,Truck4x4 parts,Части джипа 4х4,4x4卡車零件
questRewardVehicleBundleT6,items,item,,Gyroсopter parts,Части автожира,旋翼機零件

questRewardMagazineBundleT3Desc,items,item,,A small bundle of [DECEA3]3[-] random crafting skill magazines.\n[DECEA3]3[-] pieces of each magazine.,Малый комплект из [DECEA3]3[-] случайных журналов по навыкам изготовления.\nПо [DECEA3]3[-] штуки каждого журнала.,一個小型套裝，包含 [DECEA3]3[-] 本隨機製作技能雜誌。\n每本雜誌 [DECEA3]3[-] 份。
questRewardMagazineBundleT4Desc,items,item,,A medium bundle of [DECEA3]3[-] random crafting skill magazines.\n[DECEA3]4[-] pieces of each magazine.,Средний комплект из [DECEA3]3[-] случайных журналов по навыкам изготовления.\nПо [DECEA3]4[-] штуки каждого журнала.,一個中型套裝，包含 [DECEA3]3[-] 本隨機製作技能雜誌。\n每本雜誌 [DECEA3]4[-] 份。
questRewardMagazineBundleT5Desc,items,item,,A big bundle of [DECEA3]3[-] random crafting skill magazines.\n[DECEA3]5[-] pieces of each magazine.,Большой комплект из [DECEA3]3[-] случайных журналов по навыкам изготовления.\nПо [DECEA3]5[-] штук каждого журнала.,一個大型套裝，包含 [DECEA3]3[-] 本隨機製作技能雜誌。\n每本雜誌 [DECEA3]5[-] 份。
questRewardMagazineBundleT6Desc,items,item,,A huge bundle of [DECEA3]4[-] random crafting skill magazines.\n[DECEA3]5[-] pieces of each magazine.,Огромный комплект из [DECEA3]4[-] случайных журналов по навыкам изготовления.\nПо [DECEA3]5[-] штук каждого журнала.,一個超大型套裝，包含 [DECEA3]4[-] 本隨機製作技能雜誌。\n每本雜誌 [DECEA3]5[-] 份。
questRewardFoodBundleT3Desc,items,item,,A small bundle of food and water.,Малый комплект еды и воды.,一個小型食物和水的套裝。
questRewardFoodBundleT4Desc,items,item,,"A medium bundle of Home Cooking Weekly magazines, food and water.","Средний комплект журналов «Еженедельника домашней готовки», еды и воды.","一個中型套裝，包含家庭烹飪週刊雜誌、食物和水。"
questRewardFoodBundleT5Desc,items,item,,"A big bundle of Home Cooking Weekly magazines, food and water.","Большой комплект журналов «Еженедельника домашней готовки», еды и воды.","一個大型套裝，包含家庭烹飪週刊雜誌、食物和水。"
questRewardFoodBundleT6Desc,items,item,,"A huge bundle of Home Cooking Weekly magazines, food and water.","Огромный комплект журналов «Еженедельника домашней готовки», еды и воды.","一個超大型套裝，包含家庭烹飪週刊雜誌、食物和水。"

questRewardVehicleBundleT3Desc,items,item,,One of the parts of the minibike.,Одна из частей минибайка.,小型摩托車的其中一個零件。
questRewardVehicleBundleT4Desc,items,item,,One of the parts of the motorcycle.,Одна из частей мотоцикла.,摩托車的其中一個零件。
questRewardVehicleBundleT5Desc,items,item,,One of the parts of the truck4x4.,Одна из частей джипа 4х4.,4x4卡車的其中一個零件。
questRewardVehicleBundleT6Desc,items,item,,One of the parts of the gyroсopter.,Одна из частей автожира.,旋翼機的其中一個零件。
