Key,Source,Context,Changes,English,Russian,TChinese

farmerStation,blocks,Workstation,,Farmer Station,Фермерская станция,農夫工作站
farmerStationDesc,blocks,Workstation,,"This station allows you to grow seedlings of any plants that mature much faster and save your resources. You can also conduct plant selection and get more advanced varieties that are unpretentious to external conditions, mature faster and do not require sowing","Эта станция позволяет выращивать рассаду любых растений, которые созревают значительно быстрее и экономят ваши ресурсы. Так же вы можете проводить селекцию растений и получить более совершенные сорта которые неприхотливы к внешним условия, быстрее созревают и не требуют посевной","這個工作站允許你種植任何植物的幼苗，這些幼苗成熟得更快並節省你的資源。你還可以進行植物選種，獲得更先進的品種，這些品種對外部條件不挑剔，成熟更快，不需要播種"
HydroponicStation,blocks,Workstation,,Hydroponic station,Гидропонная станция,水耕站
HydroponicStationDesc,blocks,Workstation,,"This station allows you to grow any plants in a short time","Эта станция позволяет выращивать любые растения за короткий срок","這個站點允許你在短時間內種植任何植物"

seedsT3-1,progression,Attribute,,Tier 3: Fertilizer,Уровень 3: Удобрение,等級3：肥料
seedsT3-2,progression,Attribute,,Tier 3: Cotton [DECEA3]Seedling[-],Уровень 3: Хлопок [DECEA3]Рассада[-],等級3：棉花[DECEA3]幼苗[-]
seedsT3-3,progression,Attribute,,Tier 3: Goldenrod and Chrysanthemum [DECEA3]Seedling[-],Уровень 3: Золотарник и Хризантема [DECEA3]Рассада[-],等級3：一枝黃花和菊花[DECEA3]幼苗[-]
seedsT3-4,progression,Attribute,,Tier 3: Coffee [DECEA3]Seedling[-],Уровень 3: Кофе [DECEA3]Рассада[-],等級3：咖啡[DECEA3]幼苗[-]
seedsT3-5,progression,Attribute,,Tier 3: Yucca [DECEA3]Seedling[-],Уровень 3: Юкка [DECEA3]Рассада[-],等級3：絲蘭[DECEA3]幼苗[-]
seedsT3-6,progression,Attribute,,Tier 3: Aloe [DECEA3]Seedling[-],Уровень 3: Алое [DECEA3]Рассада[-],等級3：蘆薈[DECEA3]幼苗[-]
seedsT3-7,progression,Attribute,,Tier 3: Blueberry [DECEA3]Seedling[-],Уровень 3: Черника [DECEA3]Рассада[-],等級3：藍莓[DECEA3]幼苗[-]
seedsT3-8,progression,Attribute,,Tier 3: Hop [DECEA3]Seedling[-],Уровень 3: Хмель [DECEA3]Рассада[-],等級3：啤酒花[DECEA3]幼苗[-]
