Key,Source,Context,Changes,English,Russian

alloysShapes:VariantHelper,blocks,Block,,Durable alloys shapes,Формы из прочных сплавов
resourceDurablAlloys,items,buildingResource,,Durable alloys,Прочные сплавы
resourceDurablAlloysDesc,items,buildingResource,,"Used to improve steel blocks\n\nSignificantly increases the block's strength reserve, as well as its resistance to explosions\n\n[DECEA3]Warning: Upgrade only available with the Improved Nailgun[-]","Используются для улучшения стальных блоков\n\nЗначительно увеличивают запас прочности блока, а также его сопротивление в взрывам\n\n[DECEA3]Внимание! Улучшение доступно только с помощью Улучшенного Гвоздомета[-]"
materialMAlloys_shapes,blocks,Block,,Durable alloys,Прочные сплавы
alloysBlockGroupDesc,blocks,Block,,"The most durable type of block. Significantly increased durability and resistance to explosions.","Самый прочный тип блоков. Значительно увеличена прочность и сопротивление взрывам."


xuiAccessories,UI,XUI,,Accessories,Принадлежности
statWeaponHandling,ui_display,Item stat,,Weapon Handling,Обращение с оружием
statControlResist,ui_display,Item stat,,"Resistance (Stun, Shock)","Сопротивление (Стан, Шок)"
statCritResist,ui_display,Item stat,,Critical Hit Resistance,Сопротивление кр. ранениям
statFoodWaterUseAOE,ui_display,Item stat,,Loss of food/water (Self and party),Потеря еды/воды (Сам и группа) 
statCarryCapacityAOE,ui_display,Item stat,,Carrying Capacity (Self and party),Грузоподъемность (Сам и группа) 
statRegHealthIncreaseSpeedAOE,ui_display,Item stat,,Regen Health Speed (Self and party),Скорость лечения (Сам и группа) 
statLootQuantityFood,ui_display,Item stat,,Food and medicine in loot (Self and party),Еда и медицина в луте (Сам и группа) 
statRunSpeedAOE,ui_display,Item stat,,Run speed (Self and party),Скорость бега (Сам и группа) 
statEliteDamage,ui_display,Item stat,,"Damage Bonus (Elite, Minions)","Бонус к урону (Элита, Миньены)"
statBossDamage,ui_display,Item stat,,Damage Bonus (Bosses),Бонус к урону (Боссы)
statDegradationPerUseDU,ui_display,Item stat,,Degradation per Use,Поломка при использовании
statDamageTrap,ui_display,Item stat,,Trap damage,Урон ловушки

ammo762mmBulletDU,items,Ammo,,7.62mm [5AFF75]Depleted Uranium Ammo[-],Патроны 7.62mm с [5AFF75]Обедненным ураном[-]
ammo762mmBulletDUDesc,items,Ammo,,"Experimental 7.62 depleted uranium rounds.\nSignificantly stronger than regular and improved rounds of this caliber. Ignores armor and penetrates up to 3 targets. The ammunition is designed specifically to combat large mutants, when hitting bosses or elite enemies, the damage is significantly increased\n\nCannot be crafted independently. This type of ammunition can be requested in support or found in the loot from bosses.","Экспериментальные патроны 7.62 с обедненным ураном.\nЗначительно сильныее обычных и улученных потранов этого калибра. Игнорирует броню и пробивает до 3 целей. Боепривас разработан специально для борьбы с крупными мутантами, при попадании по боссам или элитным противника, урон значительно увеличен\n\nНе может быть создан самостоятельно. Данный вид боеприпасов можно запросить в поддержке или найти в добыче с боссов."
ammo44MagnumBulletDU,items,Ammo,,.44 [5AFF75]Depleted Uranium Ammo[-],.44 с [5AFF75]Обедненным ураном[-]
ammo44MagnumBulletDUDesc,items,Ammo,,"Experimental .44 depleted uranium rounds.\nSignificantly stronger than regular and improved rounds of this caliber. Ignores armor and penetrates up to 3 targets. The ammunition is designed specifically to combat large mutants, when hitting bosses or elite enemies, the damage is significantly increased\n\nCannot be crafted independently. This type of ammunition can be requested in support or found in the loot from bosses.","Экспериментальные патроны .44 с обедненным ураном.\nЗначительно сильныее обычных и улученных потранов этого калибра. Игнорирует броню и пробивает до 3 целей. Боепривас разработан специально для борьбы с крупными мутантами, при попадании по боссам или элитным противника, урон значительно увеличен\n\nНе может быть создан самостоятельно. Данный вид боеприпасов можно запросить в поддержке или найти в добыче с боссов."
ammo9mmBulletDU,items,Ammo,,9mm [5AFF75]Depleted Uranium Ammo[-],9mm с [5AFF75]Обедненным ураном[-]
ammo9mmBulletDUDesc,items,Ammo,,"Experimental 9mm depleted uranium rounds.\nSignificantly stronger than regular and improved rounds of this caliber. Ignores armor and penetrates up to 3 targets. The ammunition is designed specifically to combat large mutants, when hitting bosses or elite enemies, the damage is significantly increased\n\nCannot be crafted independently. This type of ammunition can be requested in support or found in the loot from bosses.","Экспериментальные патроны 9mm с обедненным ураном.\nЗначительно сильныее обычных и улученных потранов этого калибра. Игнорирует броню и пробивает до 3 целей. Боепривас разработан специально для борьбы с крупными мутантами, при попадании по боссам или элитным противника, урон значительно увеличен\n\nНе может быть создан самостоятельно. Данный вид боеприпасов можно запросить в поддержке или найти в добыче с боссов."
ammoShotgunSlugDU,items,Ammo,,Shotgun shells [5AFF75]Depleted Uranium Ammo[-],Патроны для дробовика с [5AFF75]Обедненным ураном[-]
ammoShotgunSlugDUDesc,items,Ammo,,"Experimental shotgun shells depleted uranium rounds.\nSignificantly stronger than regular and improved rounds of this caliber. Ignores armor and penetrates up to 3 targets. The ammunition is designed specifically to combat large mutants, when hitting bosses or elite enemies, the damage is significantly increased\n\nCannot be crafted independently. This type of ammunition can be requested in support or found in the loot from bosses.","Экспериментальные Патроны для дробовика с обедненным ураном.\nЗначительно сильныее обычных и улученных потранов этого калибра. Игнорирует броню и пробивает до 3 целей. Боепривас разработан специально для борьбы с крупными мутантами, при попадании по боссам или элитным противника, урон значительно увеличен\n\nНе может быть создан самостоятельно. Данный вид боеприпасов можно запросить в поддержке или найти в добыче с боссов."

resourceMutationSamples,items,RareResources,,Zombie Mutation Samples,Образцы мутаций зомби
resourceMutationSamplesDesc,items,RareResources,,"An extremely vile-looking substance, and an even worse smelling substance. However, it is an extremely sought-after resource in the outside world. Scientists are still guessing how complex mutations occur and what exactly this is connected with, now they will be able to significantly speed up their research. \n\n[DECEA3]In exchange, scientists are ready to supply you with the latest technology they have. Use the radio station to exchange for sets of experimental ammunition[-]","Крайне мерзкая на вид, и еще хуже на запах субстанция. Однако чрезвычайно востребованный ресурс во внешнем мире. Ученые все еще гадают как происходят сложные мутации и с чем именно это связанно, теперь они смогут значительно ускорить свои исследования.\n\n[DECEA3]Взамен ученые готовы снабдить Вас самыми последними технологиями которые у есть. Используйте радиостацию для обмена на наборы экспериментальных боеприпасов[-]"

resourceMechanicalPartsImp,items,item,,Mechanical Parts [DECEA3]Improved[-],Механические части [DECEA3]Улучшенные[-]
resourceMechanicalPartsImpDesc,items,item,,"Improved mechanical parts allow you to create more complex items.\nOnly a Advance Engineer can create these.","Улучшенные механические части позволяют создавать более сложные предметы.\nСоздать такие может только Ведущий инженер."
resourceElectricPartsImp,items,item,,Electric Parts [DECEA3]Improved[-],Электрика [DECEA3]Улучшенные[-]
resourceElectricPartsImpDesc,items,item,,"Improved electric parts allow you to create more complex items.\nOnly a Advance Engineer can create these.","Улучшенная электрика позволяет создавать более сложные предметы.\nСоздать такие может только Ведущий инженер."

DewCollectorBundleWater,items,item,,Bottle of water,Бутыль чистой воды
resourceReactorBatteryDesc,items,item,,"Purified water from the improved collector is collected in a large bottle. With them you will not have problems with water","Очищенная вода из улучшенного коллектора собирается в большое бутыли. С ними проблемы с водой у вас не будет"

resourceReactorBattery,items,item,,Reactor Battery,Реакторная батарея
resourceReactorBatteryDesc,items,item,,"A small homemade battery with some charge left from a battery pack. Used to charge [FFB800]Reactor[-] Tools","Небольшая самодельная батарея с остатком заряда от аккумулятора. Используется для зарядки [FFB800]Реакторных[-] инструментов"

PortableReactor,items,item,,Portable [FFB800]Reactor[-],Портативный [FFB800]Реактор[-]
PortableReactorDesc,items,item,,"Experimental technology in energy. The most powerful and long-lasting source of energy. [DECEA3]Iron Man[-] is resting.\n\nUsed to create a reactor tools and operate powerful energy sources.","Экспериментальная технология в энергетике. Самый можный и долговечный источник энергии. [DECEA3]Железный человек[-] отдыхает.\n\nИспользуется для создания реакторных инструментов и работы мощных истоников энергии."

electricwirerelayImp,blocks,Electricity,,Electric Wire Relay [DECEA3]Improved[-],Электрическое реле [DECEA3]Улучшенное[-]
electricwirerelayImpDesc,blocks,Electricity,,"Used to connect and extend wires between electrical components. Improved alloys make the component significantly lighter and increase its strength\n\nRepairable with Steel.","Используется для подключения и удлинения проводов между электрическими компонентами. Улучшенные сплавы делают компонент значительно легче и увеличиваею его прочность\n\nРемонтируется с помощью стали."
electrictimerrelayImp,blocks,Electricity,,Electric Timer Relay [DECEA3]Improved[-],Электрическое реле c таймером [DECEA3]Улучшенное[-]
electrictimerrelayImpDesc,blocks,Electricity,,"Wire up one of these to trigger events based on time of day. Improved alloys make the component significantly lighter and increase its strength\n\nRepairable with Steel and Electrical Parts.","Подключите это устройство, чтобы запускать действия в конкретное время. Улучшенные сплавы делают компонент значительно легче и увеличиваею его прочность\n\nРемонтируется с помощью стали и электрики."
switchImp,blocks,Electricity,,Switch [DECEA3]Improved[-],Выключатель [DECEA3]Улучшенный[-]
switchImpDesc,blocks,Electricity,,"Used to trigger electrical events when activated. Improved alloys make the component significantly lighter and increase its strength\n\nRepairable with Steel and Electrical Parts.","Используется для запуска действий электрических компонентов, которые срабатывают, если его активировать. Улучшенные сплавы делают компонент значительно легче и увеличиваею его прочность\n\nРемонтируется с помощью стали и электрики."
motionsensorImp,blocks,Electricity,,Motion Sensor [DECEA3]Improved[-],Датчик движения [DECEA3]Улучшенный[-]
motionsensorImpDesc,blocks,Electricity,,"Used to trigger electrical events when motion is detected. Improved alloys make the component significantly lighter and increase its strength. Improved optics also increase the radius and range of target detection.\n\nRepairable with Steel and Electrical Parts.","Используется для запуска действий электрических компонентов при обнаружении движения. Улучшенные сплавы делают компонент значительно легче и увеличиваею его прочность. Также улучшенная оптика увеличивает радиус и дальность обнаружения цели.\n\nРемонтируется с помощью стали и электрики."

bladeTrapImp,blocks,Electricity,,Blade Trap [DECEA3]Improved[-],Ловушка с клинками [DECEA3]Улучшенная[-]
bladeTrapImpDesc,blocks,Electricity,,"Now that's a real blender. Don't stand next to it, or it'll splash. The upgrade increases the trap's durability, damage, and increases explosion resistance by 60%.\n\nRepairable with steel.","Вот это уже настоящий блендер. Не стойте рядом, а то забрызгает. Улучшение увеличивает запас прочности ловушки, урон а также увеличивает сопротивление взрывам на 60%.\n\nРемонтируется с помощью стали."
bladeTrapExp,blocks,Electricity,,Blade Trap [FF6666]Experimental[-],Ловушка с клинками [FF6666]Экспериментальная[-]
bladeTrapExpDesc,blocks,Electricity,,"It's better to look at it from the side. Turn it on - wait a minute - and see what happens! The upgrade significantly increases the trap's durability, damage, and also increases resistance to explosions by 90%. But the energy consumption for the operation of this monster is also appropriate.\n\nRepairable with [E9653B]super-strong alloys[-].","На это лучше смотреть со стороны. Врубаешь - ждешь минуту - можно смотреть что получилось! Улучшение значительно увеличивает запас прочности ловушки, урон а также увеличивает сопротивление взрывам на 90%. Но и расход энергии, на работу этого монстра соотвествующий.\n\nРемонтируется с помощью [E9653B]сверхпрочных сплавов[-]."
electricfencepostImp,blocks,Electricity,,Electric Fence Post [DECEA3]Improved[-],Часть электрического забора  [DECEA3]Улучшенная[-]
electricfencepostImpDesc,blocks,Electricity,,"Connect 2 or more parts. High voltage supplied through the wires will throw back anyone who touches them. That's for sure - Don't touch! Will kill!\nThe upgrade increases the trap's durability, damage and also increases resistance to explosions by 40%.\n\nRepairable with electrical parts.","Соедините 2 части или больше. Высокое напряжение подоваемое по проводам откинет любого кто их заденет. Вот уж точно - Не трожь! Убъет!\nУлучшение увеличивает запас прочности ловушки, урон а также увеличивает сопротивление взрывам на 40%.\n\nРемонтируется с помощью электрических частей."
electricfencepostExp,blocks,Electricity,,Electric Fence Post [FF6666]Improved[-],Часть электрического забора  [FF6666]Экспериментальная[-]
