Key,Source,Context,Changes,English,Russian,TChinese
buffXPBonusName,buffs,buff,,Bonus to experience gained,Бонус к получаемому опыту,獲得經驗值加成
buffXPBonusTooltip,buffs,buff,,Experience gained increased by 25%,Получаемый опыт увеличен на 25%,獲得的經驗值增加25%
buffXPBonusIncDesc,buffs,Buff,,"You have a good teacher next to you.\nAll experience gained is increased by [DECEA3]25%[-]","Рядом с вами хороший учитель.\nВесь получаемый опыт увеличена на [DECEA3]25%[-]","你身邊有一位好老師。\n所有獲得的經驗值增加[DECEA3]25%[-]"

attperfection,progression,Attribute,,Perfection,Совершенствование,完美
attperfectionName,progression,Attribute,,Attribute: Perfection,Атрибут: Совершенствование,屬性：完美
attperfectionDesc,progression,Attribute,,Advanced character skill development,Продвинутое развитие навыков персонажа,進階角色技能發展
attperfectionRank01Desc,progression,Attribute,,Newbie,Новичек,新手
attperfectionRank01LongDesc,progression,Attribute,,"You are still far from perfect, but everything is in your hands. Explore the world and become the king of the wasteland.","Вы еще далеки от совершенства, но все в ваших руках. Исследуйте мир и станьте королем пустоши.","你離完美還很遠，但一切都掌握在你手中。探索這個世界，成為荒廢之地的王者。"
attperfectionRank02Desc,progression,Attribute,,Sneaky,Проныра,狡猾
attperfectionRank02LongDesc,progression,Attribute,,"You are no longer just meat - you are running. Explore the world and become the king of the wasteland.","Вы уже не простое мясо - а бегающее. Исследуйте мир и станьте королем пустоши.","你不再只是肉體 - 你在奔跑。探索這個世界，成為荒廢之地的王者。"
attperfectionRank03Desc,progression,Attribute,,Wanderer,Странник,流浪者
attperfectionRank03LongDesc,progression,Attribute,,"You have seen the world and have some experience in survival. Explore the world and become the king of the wasteland.","Вы повидали мир и какой-то опыт выживания у вас есть. Исследуйте мир и станьте королем пустоши.","你已經見識過這個世界，並有一些生存經驗。探索這個世界，成為荒廢之地的王者。"
attperfectionRank04Desc,progression,Attribute,,Researcher,Исследователь,研究者
attperfectionRank04LongDesc,progression,Attribute,,"You've mastered the basics perfectly, now it's time to delve into the details. Explore the world and become the king of the wasteland.","Азы вы освоили на отлично, теперь пора углубиться в детали. Исследуйте мир и станьте королем пустоши.","你已經完美掌握了基礎，現在是時候深入細節了。探索這個世界，成為荒廢之地的王者。"
attperfectionRank05Desc,progression,Attribute,,Recognizable,Узнаваемый,知名
attperfectionRank05LongDesc,progression,Attribute,,"Other survivors have heard about you. Not necessarily only good things. Explore the world and become the king of the wasteland.","Про вас слышали другие выжившие. Не факт что только хорошее. Исследуйте мир и станьте королем пустоши.","其他倖存者聽說過你。不一定都是好事。探索這個世界，成為荒廢之地的王者。"
attperfectionRank06Desc,progression,Attribute,,Mercenary,Наемник,傭兵
attperfectionRank06LongDesc,progression,Attribute,,"You have excellent fighting skills - all that remains is to put them into practice. Explore the world and become the king of the wasteland.","У вас отличные навыки боя - осталось применить их на деле. Исследуйте мир и станьте королем пустоши.","你有出色的戰鬥技能 - 剩下的就是將它們付諸實踐。探索這個世界，成為荒廢之地的王者。"
attperfectionRank07Desc,progression,Attribute,,Veteran,Ветеран,老兵
attperfectionRank07LongDesc,progression,Attribute,,"You've seen a lot. But don't stop there. Explore the world and become the king of the wasteland.","Вы повидали многое. Но не стоит останавливаться на достигнутом. Исследуйте мир и станьте королем пустоши.","你見識過很多。但不要就此止步。探索這個世界，成為荒廢之地的王者。"
attperfectionRank08Desc,progression,Attribute,,Authority,Авторитет,權威
attperfectionRank08LongDesc,progression,Attribute,,"You can't be ignored. You're right there in every mess. Explore the world and become the king of the wasteland.","С вами нельзя не считаться. В каждой заварушке вы тут как тут. Исследуйте мир и станьте королем пустоши.","你不能被忽視。每次混亂中你都在場。探索這個世界，成為荒廢之地的王者。"
attperfectionRank09Desc,progression,Attribute,,Legend,Легенда,傳奇
attperfectionRank09LongDesc,progression,Attribute,,"People talk about you with admiration. You are perfect in almost everything. In almost everything. Explore the world and become the king of the wasteland.","О вас говорят с восхищением. Вы совершенны почти во всем. Почти во всем. Исследуйте мир и станьте королем пустоши.","人們談論你時充滿敬佩。你幾乎在所有方面都很完美。幾乎所有方面。探索這個世界，成為荒廢之地的王者。"
attperfectionRank10Desc,progression,Attribute,,Wasteland king,Король пустоши,荒廢之地之王
attperfectionRank10LongDesc,progression,Attribute,,"You are the king of the entire wasteland. There is nothing that will surprise or frighten you. You are perfect!","Вы король всей пустоши. Нет ничего что вас удивит или испугает. Вы совершенны!","你是整個荒廢之地的王者。沒有什麼能讓你驚訝或害怕。你是完美的！"

reqPerfectPoints01,progression,Attribute,,1 lvl,1 ур,1級
reqPerfectPoints02,progression,Attribute,,50 lvl,50 ур,50級
reqPerfectPoints03,progression,Attribute,,100 lvl,100 ур,100級
reqPerfectPoints04,progression,Attribute,,150 lvl,150 ур,150級
reqPerfectPoints05,progression,Attribute,,200 lvl,200 ур,200級
reqPerfectPoints06,progression,Attribute,,250 lvl,250 ур,250級
reqPerfectPoints07,progression,Attribute,,300 lvl,300 ур,300級
reqPerfectPoints08,progression,Attribute,,350 lvl,350 ур,350級
reqPerfectPoints09,progression,Attribute,,400 lvl,400 ур,400級
reqPerfectPoints10,progression,Attribute,,450 lvl,450 ур,450級

reqPerfectLevel01,progression,Attribute,,Perfection Level 1,Уровень совершенства 1,完美等級 1
reqPerfectLevel02,progression,Attribute,,Perfection Level 2,Уровень совершенства 2,完美等級 2
reqPerfectLevel03,progression,Attribute,,Perfection Level 3,Уровень совершенства 3,完美等級 3
reqPerfectLevel04,progression,Attribute,,Perfection Level 4,Уровень совершенства 4,完美等級 4
reqPerfectLevel05,progression,Attribute,,Perfection Level 5,Уровень совершенства 5,完美等級 5
reqPerfectLevel06,progression,Attribute,,Perfection Level 6,Уровень совершенства 6,完美等級 6
reqPerfectLevel07,progression,Attribute,,Perfection Level 7,Уровень совершенства 7,完美等級 7
reqPerfectLevel08,progression,Attribute,,Perfection Level 8,Уровень совершенства 8,完美等級 8
reqPerfectLevel09,progression,Attribute,,Perfection Level 9,Уровень совершенства 9,完美等級 9
reqPerfectLevel10,progression,Attribute,,Perfection Level 10,Уровень совершенства 10,完美等級 10

0000 Self Develop 0000

skillSelfDevelopName,progression,Skills,,Skills Self Development,Навыки саморазвития,自我發展技能

perkLearningAbilityName,progression,perk,,Learning ability,Обучаемость,學習能力
perkLearningAbilityDesc,progression,perk,,"You also need to be able to learn. Developing the skill of learning will allow you to learn faster, and when you master the skills, you will be able to teach others.","Обучаться тоже надо уметь. Развитие навыка обучаемости позволит вам обучаться быстрее, а когда вы овладеете навыков вы сможете обучать других.","學習也需要技巧。發展學習能力將使你學習更快，當你掌握技能後，你將能夠教導他人。"
perkLearningAbilityRank1LongDesc,progression,Skills,,"Everything is like in school. Only zombies interfere with homework.\nYour experience gain is increased by 5%","Все как в школе. Только зомби мешают делать уроки.\nПолучаемый вами опыт увеличен на 5%","一切就像在學校一樣。只是殭屍干擾了作業。\n你獲得的經驗增加了5%"
perkLearningAbilityRank2LongDesc,progression,Skills,,"Ah, student life. Classes, library, parties, girls... and zombies.\nYour experience gain is increased by 10%","Эх студенческая жизнь. Занятия, библиотека, Вечеринки, Девочки... и зомби.\nПолучаемый вами опыт увеличен на 10%","啊，學生生活。課堂、圖書館、派對、女孩...還有殭屍。\n你獲得的經驗增加了10%"
perkLearningAbilityRank3LongDesc,progression,Skills,,"If it weren't for the apocalypse, you would have become a good engineer.\nYour experience gain is increased by 15%","Если бы не апокалипсис вы бы стали хорошим инженером.\nПолучаемый вами опыт увеличен на 15%","如果不是因為末日，你本來會成為一個優秀的工程師。\n你獲得的經驗增加了15%"
perkLearningAbilityRank4LongDesc,progression,Skills,,"You don't have to read a lot to survive the apocalypse. You can, for example, shoot a lot.\nYour experience gain is increased by 20%","Не обязательно много читать чтобы выживать в апокалипсис. Можно например много стрелять.\nПолучаемый вами опыт увеличен на 20%","在末日生存不一定要讀很多書。你可以，比如說，多射擊。\n你獲得的經驗增加了20%"
perkLearningAbilityRank5LongDesc,progression,Skills,,"Learned it yourself - teach others. Allies and party members receive 25% more experience.\nYour experience gain is increased by 25%","Научился сам - научи других. Союзники и участники группы получают на 25% больше опыта.\nПолучаемый вами опыт увеличен на 25%","自己學會了就教別人。盟友和隊伍成員獲得25%更多經驗。\n你獲得的經驗增加了25%"
perkLearningAbilityRank1Desc,progression,Skills,,Schoolboy,Школьник,學生
perkLearningAbilityRank2Desc,progression,Skills,,Student,Студент,大學生
perkLearningAbilityRank3Desc,progression,Skills,,Graduate student,Аспирант,研究生
perkLearningAbilityRank4Desc,progression,Skills,,Botanist,Ботаник,植物學家
perkLearningAbilityRank5Desc,progression,Skills,,Teacher,Учитель,教師
