Key,Source,Context,Changes,English,Russian,TChinese

lblCategoryNotes,UI,Tooltip,,Notes Quests,Квесты по заметкам,筆記任務
lblCategoryRequest,UI,Tooltip,,Support Request,Запрос поддержки,支援請求
lblCategoryRequestAmmo,UI,Tooltip,,Request for ammunition,Запрос боеприпасов,彈藥請求

resourceResourceSet,items,Resources,,Resource Kit [DECEA3]Support[-],Набор ресурсов [DECEA3]Поддержка[-],資源套件 [DECEA3]支援[-]
resourceResourceSetDesc,items,Resources,,Collect sets of resources and request an exchange for rare alloys at the [DECEA3]Radio Station.[-],Собирайте наборы ресурсов и запрашивайте обмен на редкие сплавы в [DECEA3]Радиостанции.[-],收集資源套件並在[DECEA3]無線電站[-]請求交換稀有合金。

perkDaringAdventurerRank1LongDesc,progression,perk Int,,"Risking your neck every day has its advantages.\nGain access to better trader items and get 5% more dukes. You can create Tier 3 quests in the radio station.","У ежедневного риска есть свои преимущества.\nПолучаете доступ к лучшим товарам у продавцов и на 5% больше дюков. Вы можете создавать задания тир 3 квестов в радиостанции.","每天冒險有其好處。\n獲得更好的商人物品，並獲得5%更多的杜克幣。你可以在無線電站創建第3級任務。"
perkDaringAdventurerRank2LongDesc,progression,perk Int,,"The traders know you can get the job done, plunderer.\nGain access to even better trader items and get 10% more dukes. You can create Tier 4 quests in the radio station.","Торговцы знают, что вы доводите дело до конца.\nПолучаете доступ к лучшим товарам торговцев и на 10% больше дюков. Вы можете создавать задания тир 4 квестов в радиостанции.","商人知道你能完成任務，掠奪者。\n獲得更好的商人物品，並獲得10%更多的杜克幣。你可以在無線電站創建第4級任務。"
perkDaringAdventurerRank3LongDesc,progression,perk Int,,"You've made a name for yourself as a mercenary for hire.\nGain access to better trader items and get 15% more dukes. You can create Tier 5 quests in the radio station.","Вы прославились как наемник.\nПолучаете доступ к лучшим товарам торговцев и на 15% больше дюков. Вы можете создавать задания тир 5 квестов в радиостанции.","你已經成為一名知名的雇傭兵。\n獲得更好的商人物品，並獲得15%更多的杜克幣。你可以在無線電站創建第5級任務。"
perkDaringAdventurerRank4LongDesc,progression,perk Int,,"You are the daring adventurer!\nGain access to better trader items and get 20% more dukes. You can create Tier 6 quests in the radio station.\nPick two quest rewards for your daring efforts.","Вы дерзкий авантюрист!\nПолучаете доступ к лучшим товарам торговцев и на 20% больше дюков. Вы можете создавать задания тир 6 квестов в радиостанции.\nЗа свою смелость вы можете выбрать две награды за выполнение заданий.","你是大膽的冒險家！\n獲得更好的商人物品，並獲得20%更多的杜克幣。你可以在無線電站創建第6級任務。\n為你的大膽努力選擇兩個任務獎勵。"

QuestNotes,items,Resources,,Notes on Quests,Заметки о заданиях,任務筆記
QuestNotesDesc,items,Resources,,"Sometimes survivors leave their notes in the margins of books.\nIf you collect enough, you can launch the event you need from tier 3 and above and get a reward for it from any trader","Иногда выжившие оставляют свои заметки на полях книг.\nЕсли собрать достаточное количество можно запустить нужно вам событие от 3 тира и выше и получить награду за него у любого торговца","有時倖存者會在書的邊緣留下筆記。\n如果你收集足夠多，你可以從第3級及以上啟動你需要的事件，並從任何商人那裡獲得獎勵"

notes_restore_power3_Quest,items,Request,,[DECEA3]Tier 3[-] Restore Power,[DECEA3]Тир 3[-] Восстановить питание,[DECEA3]第3級[-] 恢復電力
notes_restore_power3_QuestDesc,items,Request,,"Starts [DECEA3]Tier 3[-] restore power quest","Запускает [DECEA3]Тир 3[-] задание по восстановлению питания","啟動 [DECEA3]第3級[-] 恢復電力任務"
notes_fetch3_Quest,items,Request,,[DECEA3]Tier 3[-] Fetch,[DECEA3]Тир 3[-] Вернуть припасы,[DECEA3]第3級[-] 取回
notes_fetch3_QuestDesc,items,Request,,"Starts [DECEA3]Tier 3[-] fetch quest","Запускает [DECEA3]Тир 3[-] задание по поиску припасов","啟動 [DECEA3]第3級[-] 取回任務"
notes_clear3_Quest,items,Request,,[DECEA3]Tier 3[-] Clear,[DECEA3]Тир 3[-] Зачистка,[DECEA3]第3級[-] 清除
notes_clear3_QuestDesc,items,Request,,"Starts [DECEA3]Tier 3[-] clear quest","Запускает [DECEA3]Тир 3[-] задание по зачистке","啟動 [DECEA3]第3級[-] 清除任務"
notes_infested3_Quest,items,Request,,[DECEA3]Tier 3[-] Infested Clear,[DECEA3]Тир 3[-] Зараженная Зачистка,[DECEA3]第3級[-] 感染清除
notes_infested3_QuestDesc,items,Request,,"Starts [DECEA3]Tier 3[-] infested clear quest","Запускает [DECEA3]Тир 3[-] задание по зараженной зачистке","啟動 [DECEA3]第3級[-] 感染清除任務"

notes_restore_power4_Quest,items,Request,,[DECEA3]Tier 4[-] Restore Power,[DECEA3]Тир 4[-] Восстановить питание,[DECEA3]第4級[-] 恢復電力
notes_restore_power4_QuestDesc,items,Request,,"Starts [DECEA3]Tier 4[-] restore power quest","Запускает [DECEA3]Тир 4[-] задание по восстановлению питания","啟動 [DECEA3]第4級[-] 恢復電力任務"
notes_fetch4_Quest,items,Request,,[DECEA3]Tier 4[-] Fetch,[DECEA3]Тир 4[-] Вернуть припасы,[DECEA3]第4級[-] 取回
notes_fetch4_QuestDesc,items,Request,,"Starts [DECEA3]Tier 4[-] fetch quest","Запускает [DECEA3]Тир 4[-] задание по поиску припасов","啟動 [DECEA3]第4級[-] 取回任務"
notes_clear4_Quest,items,Request,,[DECEA3]Tier 4[-] Clear,[DECEA3]Тир 4[-] Зачистка,[DECEA3]第4級[-] 清除
notes_clear4_QuestDesc,items,Request,,"Starts [DECEA3]Tier 4[-] clear quest","Запускает [DECEA3]Тир 4[-] задание по зачистке","啟動 [DECEA3]第4級[-] 清除任務"
notes_infested4_Quest,items,Request,,[DECEA3]Tier 4[-] Infested Clear,[DECEA3]Тир 4[-] Зараженная Зачистка,[DECEA3]第4級[-] 感染清除
notes_infested4_QuestDesc,items,Request,,"Starts [DECEA3]Tier 4[-] infested clear quest","Запускает [DECEA3]Тир 4[-] задание по зараженной зачистке","啟動 [DECEA3]第4級[-] 感染清除任務"

notes_fetch5_Quest,items,Request,,[DECEA3]Tier 5[-] Fetch,[DECEA3]Тир 5[-] Вернуть припасы,[DECEA3]第5級[-] 取回
notes_fetch5_QuestDesc,items,Request,,"Starts [DECEA3]Tier 5[-] fetch quest","Запускает [DECEA3]Тир 5[-] задание по поиску припасов","啟動 [DECEA3]第5級[-] 取回任務"
notes_clear5_Quest,items,Request,,[DECEA3]Tier 5[-] Clear,[DECEA3]Тир 5[-] Зачистка,[DECEA3]第5級[-] 清除
notes_clear5_QuestDesc,items,Request,,"Starts [DECEA3]Tier 5[-] clear quest","Запускает [DECEA3]Тир 5[-] задание по зачистке","啟動 [DECEA3]第5級[-] 清除任務"
notes_infested5_Quest,items,Request,,[DECEA3]Tier 5[-] Infested Clear,[DECEA3]Тир 5[-] Зараженная Зачистка,[DECEA3]第5級[-] 感染清除
notes_infested5_QuestDesc,items,Request,,"Starts [DECEA3]Tier 5[-] infested clear quest","Запускает [DECEA3]Тир 5[-] задание по зараженной зачистке","啟動 [DECEA3]第5級[-] 感染清除任務"

notes_infested6_Quest,items,Request,,[DECEA3]Tier 6[-] Infested Clear,[DECEA3]Тир 6[-] Зараженная Зачистка,[DECEA3]第6級[-] 感染清除
notes_infested6_QuestDesc,items,Request,,"Starts [DECEA3]Tier 6[-] infested clear quest","Запускает [DECEA3]Тир 6[-] задание по зараженной зачистке","啟動 [DECEA3]第6級[-] 感染清除任務"

quest_alloys_small_case,Quest,Quest Info,,"Excellent work! I'm sure even these supplies will be able to make life easier for a lot of people. The alloys should be sent to you. Keep up the good work!","Отличная работа! Уверен даже эти припасы смогут облегчить жизнь немалому количеству народа. Сплавы тебе должны отправить. Продолжай в том же духе!","做得好！我相信即使是這些補給品也能讓很多人的生活變得更輕鬆。合金應該已經寄給你了。繼續保持好工作！"
quest_alloys_medium_case,Quest,Quest Info,,"Excellent! Your supplies will help more than one settlement. The alloys should be sent to you. Keep up the good work!","Превосходно! Твои припасы помогут не одному поселению. Сплавы тебе должны отправить. Продолжай в том же духе!","太棒了！你的補給品將幫助不止一個定居點。合金應該已經寄給你了。繼續保持好工作！"
quest_alloys_big_case,Quest,Quest Info,,"Excellent! With this amount of supplies, we can organize several more safe zones. With your contribution, you are saving the lives of many survivors. The alloys should be sent to you. Keep up the good work!","Превосходно! С таким количеством припасов мы сможем организовать еще несколько безопасных зон. Своим вкладом, ты спасаешь жизни многих выживших. Сплавы тебе должны отправить. Продолжай в том же духе!","太棒了！有了這麼多補給品，我們可以組織更多的安全區。通過你的貢獻，你正在拯救許多倖存者的生命。合金應該已經寄給你了。繼續保持好工作！"
ammoSmallCase100Name,Quest,Quest Info,,Request AMMO [DECEA3]Small Case[-],Запрос боеприпасов [DECEA3]Малый кейс[-],請求彈藥 [DECEA3]小箱[-]
ammoBigCase1000Name,Quest,Quest Info,,Request AMMO [DECEA3]Big Case[-],Запрос боеприпасов [DECEA3]Большой кейс[-],請求彈藥 [DECEA3]大箱[-]

UltraLightAlloysSmall_Quest,items,Request,,[DECEA3]Small case[-] Ultra light alloys,[DECEA3]Малый кейс[-] Сверхлегкие сплавы,[DECEA3]小箱[-] 超輕合金
UltraLightAlloysSmall_QuestDesc,items,Request,,"Request for a small resource case.\nBe careful, dropping the cargo may attract the attention of zombies.\n\nIf you successfully receive the cargo, you will receive [DECEA3]10 Ultra light alloys.[-]","Запрос на получение малого кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби.\n\nВ случае успешного получения груза в получите [DECEA3]10 Сверхлегких сплавов.[-]","請求一個小型資源箱。\n小心，投放貨物可能會吸引殭屍的注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]10個超輕合金。[-]"
requestUltraStrengthAlloysSmall,items,Request,,[DECEA3]Small case[-] Ultra strength alloys,[DECEA3]Малый кейс[-] Сверхпрочные сплавы,[DECEA3]小箱[-] 超強合金
requestUltraStrengthAlloysSmallDesc,items,Request,,"Request for a small resource case.\nBe careful, dropping the cargo may attract the attention of zombies.\n\nIf you successfully receive the cargo, you will receive [DECEA3]10 Ultra strength alloys.[-]","Запрос на получение малого кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби.\n\nВ случае успешного получения груза в получите [DECEA3]10 Сверхпрочные сплавов.[-]","請求一個小型資源箱。\n小心，投放貨物可能會吸引殭屍的注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]10個超強合金。[-]"
requestExperimentalAlloysSmall,items,Request,,[DECEA3]Small case[-] Experimental alloys,[DECEA3]Малый кейс[-] Эксперементальные сплавы,[DECEA3]小箱[-] 實驗性合金
requestExperimentalAlloysSmallDesc,items,Request,,"Request for a small resource case.\nBe careful, dropping the cargo may attract the attention of zombies.\n\nIf you successfully receive the cargo, you will receive [DECEA3]10 Experimental alloys.[-]","Запрос на получение малого кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби.\n\nВ случае успешного получения груза в получите [DECEA3]10 Экспериментальных сплавов.[-]","請求一個小型資源箱。\n小心，投放貨物可能會吸引殭屍的注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]10個實驗性合金。[-]"

requestUltraLightAlloysMedium,items,Request,,[DECEA3]Medium case[-] Ultra light alloys,[DECEA3]Средний кейс[-] Сверхлегкие сплавы,[DECEA3]中型箱[-] 超輕合金
requestUltraLightAlloysMediumDesc,items,Request,,"Request to receive a medium case of resources.\nBe careful, dropping the cargo may attract the attention of zombies from all over the area.\n\nIf you successfully receive the cargo, you will receive [DECEA3]50 Ultra light alloys.[-]","Запрос на получение среднего кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби со всей округи.\n\nВ случае успешного получения груза в получите [DECEA3]50 Сверхлегких сплавов.[-]","請求接收一個中型資源箱。\n小心，投放貨物可能會吸引整個區域的殭屍注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]50個超輕合金。[-]"
requestUltraStrengthAlloysMedium,items,Request,,[DECEA3]Medium case[-] Ultra strength alloys,[DECEA3]Средний кейс[-] Сверхпрочные сплавы,[DECEA3]中型箱[-] 超強合金
requestUltraStrengthAlloysMediumDesc,items,Request,,"Request to receive a medium case of resources.\nBe careful, dropping the cargo may attract the attention of zombies from all over the area.\n\nIf you successfully receive the cargo, you will receive [DECEA3]50 Ultra strength alloys.[-]","Запрос на получение среднего кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби со всей округи.\n\nВ случае успешного получения груза в получите [DECEA3]50 Сверхпрочных сплавов.[-]","請求接收一個中型資源箱。\n小心，投放貨物可能會吸引整個區域的殭屍注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]50個超強合金。[-]"
requestExperimentalAlloysMedium,items,Request,,[DECEA3]Medium case[-] Experimental alloys,[DECEA3]Средний кейс[-] Эксперементальные сплавы,[DECEA3]中型箱[-] 實驗性合金
