Key,Source,Context,Changes,English,Russian,TChinese

lblCategoryRequest,UI,Tooltip,,Support Request,Запрос поддержки,支援請求

resourceResourceSet,items,Resources,,Resource Kit [DECEA3]Support[-],Набор ресурсов [DECEA3]Поддержка[-],資源套件 [DECEA3]支援[-]
resourceResourceSetDesc,items,Resources,,Collect sets of resources and request an exchange for rare alloys at the [DECEA3]Radio Station.[-],Собирайте наборы ресурсов и запрашивайте обмен на редкие сплавы в [DECEA3]Радиостанции.[-],收集資源套件並在[DECEA3]無線電站[-]請求交換稀有合金。

UltraLightAlloysSmall_Quest,items,Request,,[DECEA3]Small case[-] Ultra light alloys,[DECEA3]Малый кейс[-] Сверхлегкие сплавы,[DECEA3]小箱[-] 超輕合金
UltraLightAlloysSmall_QuestDesc,items,Request,,"Request for a small resource case.\nBe careful, dropping the cargo may attract the attention of zombies.\n\nIf you successfully receive the cargo, you will receive [DECEA3]10 Ultra light alloys.[-]","Запрос на получение малого кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби.\n\nВ случае успешного получения груза в получите [DECEA3]10 Сверхлегких сплавов.[-]","請求一個小型資源箱。\n小心，投放貨物可能會吸引殭屍的注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]10個超輕合金。[-]"
requestUltraStrengthAlloysSmall,items,Request,,[DECEA3]Small case[-] Ultra strength alloys,[DECEA3]Малый кейс[-] Сверхпрочные сплавы,[DECEA3]小箱[-] 超強合金
requestUltraStrengthAlloysSmallDesc,items,Request,,"Request for a small resource case.\nBe careful, dropping the cargo may attract the attention of zombies.\n\nIf you successfully receive the cargo, you will receive [DECEA3]10 Ultra strength alloys.[-]","Запрос на получение малого кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби.\n\nВ случае успешного получения груза в получите [DECEA3]10 Сверхпрочные сплавов.[-]","請求一個小型資源箱。\n小心，投放貨物可能會吸引殭屍的注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]10個超強合金。[-]"
requestExperimentalAlloysSmall,items,Request,,[DECEA3]Small case[-] Experimental alloys,[DECEA3]Малый кейс[-] Эксперементальные сплавы,[DECEA3]小箱[-] 實驗性合金
requestExperimentalAlloysSmallDesc,items,Request,,"Request for a small resource case.\nBe careful, dropping the cargo may attract the attention of zombies.\n\nIf you successfully receive the cargo, you will receive [DECEA3]10 Experimental alloys.[-]","Запрос на получение малого кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби.\n\nВ случае успешного получения груза в получите [DECEA3]10 Экспериментальных сплавов.[-]","請求一個小型資源箱。\n小心，投放貨物可能會吸引殭屍的注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]10個實驗性合金。[-]"

requestUltraLightAlloysMedium,items,Request,,[DECEA3]Medium case[-] Ultra light alloys,[DECEA3]Средний кейс[-] Сверхлегкие сплавы,[DECEA3]中型箱[-] 超輕合金
requestUltraLightAlloysMediumDesc,items,Request,,"Request to receive a medium case of resources.\nBe careful, dropping the cargo may attract the attention of zombies from all over the area.\n\nIf you successfully receive the cargo, you will receive [DECEA3]50 Ultra light alloys.[-]","Запрос на получение среднего кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби со всей округи.\n\nВ случае успешного получения груза в получите [DECEA3]50 Сверхлегких сплавов.[-]","請求接收一個中型資源箱。\n小心，投放貨物可能會吸引整個地區的殭屍注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]50個超輕合金。[-]"
requestUltraStrengthAlloysMedium,items,Request,,[DECEA3]Medium case[-] Ultra strength alloys,[DECEA3]Средний кейс[-] Сверхпрочные сплавы,[DECEA3]中型箱[-] 超強合金
requestUltraStrengthAlloysMediumDesc,items,Request,,"Request to receive a medium case of resources.\nBe careful, dropping the cargo may attract the attention of zombies from all over the area.\n\nIf you successfully receive the cargo, you will receive [DECEA3]50 Ultra strength alloys.[-]","Запрос на получение среднего кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби со всей округи.\n\nВ случае успешного получения груза в получите [DECEA3]50 Сверхпрочных сплавов.[-]","請求接收一個中型資源箱。\n小心，投放貨物可能會吸引整個地區的殭屍注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]50個超強合金。[-]"
requestExperimentalAlloysMedium,items,Request,,[DECEA3]Medium case[-] Experimental alloys,[DECEA3]Средний кейс[-] Эксперементальные сплавы,[DECEA3]中型箱[-] 實驗性合金
requestExperimentalAlloysMediumDesc,items,Request,,"Request to receive a medium case of resources.\nBe careful, dropping the cargo may attract the attention of zombies from all over the area.\n\nIf you successfully receive the cargo, you will receive [DECEA3]50 Experimental alloys.[-]","Запрос на получение среднего кейса ресурсов.\nБудьте осторожны сброс груза может привлечь внимание зомби со всей округи.\n\nВ случае успешного получения груза в получите [DECEA3]50 Экспериментальных сплавов.[-]","請求接收一個中型資源箱。\n小心，投放貨物可能會吸引整個地區的殭屍注意。\n\n如果你成功接收到貨物，你將獲得[DECEA3]50個實驗性合金。[-]"

