Key,Source,Context,Changes,English,Russian

NerdNotes,items,Books,,Nerd Notes,Записки ботаника
NerdNotesDesc,items,Resources,,"This is a unique journal that contains a note on the accelerated creation of any items. Holding this item in your hands while crafting will speed up the creation of any items in any station by 15%","Это уникальный журнал который содержит заметка по ускоренному созданию любых предметов. Удерживая этот предмет в руках при крафте вы ускорите создание любых предметов в любой станции на 15%"

modSurgicalBladeSchematic,item_modifiers,Mod,,Surgical Blade Mod Schematic,Схема модификации «Хирургическое лезвие»

modRareArmorARResistHelmet,item_modifiers,mod,,Defender-Z Mod. [DECEA3]Head[-],Мод Защитник-Z. [DECEA3]Голова[-]
modRareArmorARResistHelmetDesc,item_modifiers,mod,,"Experimental protective armor coating. Protects your head from most negative effects.\nPhysical protection [DECEA3]+2[-]\nTemperature protection [DECEA3]+7[-]\nExplosive protection [DECEA3]+1[-]\nRadiation damage [DECEA3]-10%[-]\nIncreases the speed of recovery from radiation\n\nConsidered for the RadProtect set\n\nFull set of protection mods: [DECEA3]Provides resistance to 2 active radiation effects[-]","Экспериментальное защитное покрытие брони. Спасает вашу голову от большинства негативных воздействий.\nФизическая защита [DECEA3]+2[-]\nЗащита от температур [DECEA3]+7[-]\nЗащита от взрывов [DECEA3]+1[-]\nУрону от радиации [DECEA3]-10%[-]\nУвеличивает скорость восстановления от облучения\n\nУчитывается для набора РадПротект\n\nПолный набор модов защиты: [DECEA3]Дает сопротивление к 2 эффектам активной радиации[-]"
modRareArmorARResistOutfit,item_modifiers,mod,,Defender-Z Mod. [DECEA3]Chest[-],Мод Защитник-Z. [DECEA3]Тело[-]
modRareArmorARResistOutfitDesc,item_modifiers,mod,,"Experimental protective armor coating. Protects your body from most negative effects.\nPhysical protection [DECEA3]+2[-]\nTemperature protection [DECEA3]+7[-]\nExplosive protection [DECEA3]+1[-]\nRadiation damage [DECEA3]-10%[-]\nIncreases the speed of recovery from radiation\n\nConsidered for the RadProtect set\n\nFull set of protection mods: [DECEA3]Provides resistance to 2 active radiation effects[-]","Экспериментальное защитное покрытие брони. Спасает вашу тело от большинства негативных воздействий.\nФизическая защита [DECEA3]+2[-]\nЗащита от температур [DECEA3]+7[-]\nЗащита от взрывов [DECEA3]+1[-]\nУрону от радиации [DECEA3]-10%[-]\nУвеличивает скорость восстановления от облучения\n\nУчитывается для набора РадПротект\n\nПолный набор модов защиты: [DECEA3]Дает сопротивление к 2 эффектам активной радиации[-]"
modRareArmorARResistGloves,item_modifiers,mod,,Defender-Z Mod. [DECEA3]Hands[-],Мод Защитник-Z. [DECEA3]Руки[-]
