Key,Source,Context,Changes,English,Russian

note1_startQuest,items,questItem,,Welcome to [FF6666]Project Z![-],Добро пожаловать в [FF6666]Проект Z![-]
note1_startQuestDesc,items,questItem,,"Here you will find survival on the edge... New armor, weapons, stations, zombies, bosses, pumping and much, much more. The overall gameplay has been significantly expanded and is constantly being improved. Enjoy the game!\n\n[DECEA3]- Black Rabbit[-]","Здесь вас ждет выживание на грани... Новая броня, оружие, станции, зомби, боссы, прокачка и многое, многое другое. Общий процесс игры значительно расширен и постоянно дорабатывается. Приятной игры!\n\n[DECEA3]- Black Rabbit[-]"

startQuest1_statement,Quest,Quest Info,,Find a supply cache,Запустите цепочку заданий «Выживание»
startQuest1_subtitle,Quest,Quest Info,,Find a supply cache,Запустите цепочку заданий «Выживание»

startQuest1Name,Quest,Quest Info,,Welcome to [FF6666]Project Z![-],Добро пожаловать в [FF6666]Проект Z![-]
startQuest1Offer,Quest,Quest Info,,"Here you will find survival on the edge... New armor, weapons, stations, zombies, bosses, pumping and much, much more. The overall gameplay has been significantly expanded and is constantly being improved. Enjoy the game!\n\n[DECEA3]- Black Rabbit[-]","Здесь вас ждет выживание на грани... Новая броня, оружие, станции, зомби, боссы, прокачка и многое, многое другое. Общий процесс игры значительно расширен и постоянно дорабатывается. Приятной игры!\n\n[DECEA3]- Black Rabbit[-]"

note2_startQuest,items,questItem,,[DECEA3]Quest[-] Survival [FF6666]Chapter 1[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 1[-]
note2_startQuestDesc,items,questItem,,"Starts [FF6666]Chapter 1[-] of the quest [FF6666]Survival[-]\n\n[DECEA3]Warning! Canceling this quest will break the entire quest chain. It can only be restarted by an administrator.[-]","Запускает [FF6666]Главу 1[-] задания [FF6666]Выживание[-]\n\n[DECEA3]Внимание! Отмена этого задания прервет всю цепочку квеста. Повторный запуск возможен только с помощью администратора.[-]"
note3_startQuest,items,questItem,,[DECEA3]Quest[-] Survival [FF6666]Chapter 2[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 2[-]
note3_startQuestDesc,items,questItem,,"Starts [FF6666]Chapter 2[-] of the quest [FF6666]Survival[-]\n\n[DECEA3]Warning! Canceling this quest will break the entire quest chain. It can only be restarted by an administrator.[-]","Запускает [FF6666]Главу 2[-] задания [FF6666]Выживание[-]\n\n[DECEA3]Внимание! Отмена этого задания прервет всю цепочку квеста. Повторный запуск возможен только с помощью администратора.[-]"
note4_startQuest,items,questItem,,[DECEA3]Quest[-] Survival [FF6666]Chapter 3[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 3[-]
note4_startQuestDesc,items,questItem,,"Starts [FF6666]Chapter 3[-] of the quest [FF6666]Survival[-]\n\n[DECEA3]Warning! Canceling this quest will break the entire quest chain. It can only be restarted by an administrator.[-]","Запускает [FF6666]Главу 3[-] задания [FF6666]Выживание[-]\n\n[DECEA3]Внимание! Отмена этого задания прервет всю цепочку квеста. Повторный запуск возможен только с помощью администратора.[-]"
note5_startQuest,items,questItem,,[DECEA3]Quest[-] Survival [FF6666]Chapter 4[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 4[-]
note5_startQuestDesc,items,questItem,,"Starts [FF6666]Chapter 4[-] of the quest [FF6666]Survival[-]\n\n[DECEA3]Warning! Canceling this quest will break the entire quest chain. It can only be restarted by an administrator.\n\nIt is also recommended to launch the task in the vicinity of medium and large cities.[-]","Запускает [FF6666]Главу 4[-] задания [FF6666]Выживание[-]\n\n[DECEA3]Внимание! Отмена этого задания прервет всю цепочку квеста. Повторный запуск возможен только с помощью администратора.\n\nТакже запуск задания рекомендуется выполнять в близости от средних и больших городов.[-]"
note6_startQuest,items,questItem,,[DECEA3]Quest[-] Survival [FF6666]Chapter 5[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 5[-]
note6_startQuestDesc,items,questItem,,"Starts [FF6666]Chapter 5[-] of the quest [FF6666]Survival[-]\n\n[DECEA3]Warning! Canceling this quest will break the entire quest chain. It can only be restarted by an administrator.\n\nIt is also recommended to launch the task in the vicinity of medium and large cities.[-]","Запускает [FF6666]Главу 5[-] задания [FF6666]Выживание[-]\n\n[DECEA3]Внимание! Отмена этого задания прервет всю цепочку квеста. Повторный запуск возможен только с помощью администратора.\n\nТакже запуск задания рекомендуется выполнять в близости от средних и больших городов.[-]"
note7_startQuest,items,questItem,,[DECEA3]Quest[-] Survival [FF6666]Chapter 6[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 6[-]
note7_startQuestDesc,items,questItem,,"Starts [FF6666]Chapter 6[-] of the quest [FF6666]Survival[-]\n\n[DECEA3]Warning! Canceling this quest will break the entire quest chain. It can only be restarted by an administrator.\n\nIt is also recommended to launch the task in the vicinity of large cities.[-]","Запускает [FF6666]Главу 6[-] задания [FF6666]Выживание[-]\n\n[DECEA3]Внимание! Отмена этого задания прервет всю цепочку квеста. Повторный запуск возможен только с помощью администратора.\n\nТакже запуск задания рекомендуется выполнять в близости от больших городов.[-]"
note8_startQuest,items,questItem,,[DECEA3]Quest[-] Survival [FF6666]Chapter 7[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 7[-]
note8_startQuestDesc,items,questItem,,"Starts [FF6666]Chapter 7[-] of the quest [FF6666]Survival[-]\n\n[DECEA3]Warning! Canceling this quest will break the entire quest chain. It can only be restarted by an administrator.\n\nIt is also recommended to launch the task in the vicinity of large cities.[-]","Запускает [FF6666]Главу 7[-] задания [FF6666]Выживание[-]\n\n[DECEA3]Внимание! Отмена этого задания прервет всю цепочку квеста. Повторный запуск возможен только с помощью администратора.\n\nТакже запуск задания рекомендуется выполнять в близости от больших городов.[-]"
note9_startQuest,items,questItem,,[DECEA3]Quest[-] Survival [FF6666]Chapter 8[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 8[-]
note9_startQuestDesc,items,questItem,,"Starts [FF6666]Chapter 8[-] of the quest [FF6666]Survival[-]\n\n[DECEA3]Warning! Canceling this quest will break the entire quest chain. It can only be restarted by an administrator.\n\nIt is also recommended to launch the task in the vicinity of large cities.[-]","Запускает [FF6666]Главу 8[-] задания [FF6666]Выживание[-]\n\n[DECEA3]Внимание! Отмена этого задания прервет всю цепочку квеста. Повторный запуск возможен только с помощью администратора.\n\nТакже запуск задания рекомендуется выполнять в близости от больших городов.[-]"

startQuest2_statement,Quest,Quest Info,,Inspect the wound and remove the bone,Осмотрите рану и достаньте кость
startQuest2_subtitle,Quest,Quest Info,,Inspect the wound and remove the bone,Осмотрите рану и достаньте кость
startQuest2Name,Quest,Quest Info,,[DECEA3]Quest[-] Survival [FF6666]Chapter 1[-],[DECEA3]Квест[-] Выживание [FF6666]Глава 1[-]
